  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA4415                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.804 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.4132   0.00766   0.00192  -0.0854   0.6037   0.4189
   1.000   0.4854   0.00713   0.00209  -0.0767   0.5667   0.6985
   2.000   0.6936   0.00738   0.00282  -0.0976   0.5260   0.9598
   4.000   0.9470   0.00860   0.00366  -0.1046   0.4532   1.0000
   5.000   1.0147   0.00911   0.00405  -0.0954   0.4234   1.0000
   6.000   1.0792   0.00965   0.00452  -0.0856   0.3926   1.0000
   7.000   1.1464   0.01043   0.00520  -0.0768   0.3569   1.0000
   8.000   1.2149   0.01147   0.00613  -0.0689   0.3147   1.0000
   9.000   1.2733   0.01317   0.00756  -0.0600   0.2546   1.0000
  10.000   1.3274   0.01534   0.00951  -0.0514   0.2005   1.0000
  11.000   1.3788   0.01794   0.01198  -0.0435   0.1616   1.0000
  12.000   1.4273   0.02104   0.01507  -0.0364   0.1361   1.0000
  13.000   1.4694   0.02493   0.01898  -0.0299   0.1147   1.0000
  14.000   1.5042   0.02985   0.02397  -0.0243   0.0939   1.0000
  15.000   1.5184   0.03712   0.03125  -0.0191   0.0694   1.0000
  16.000   1.5180   0.04675   0.04097  -0.0156   0.0527   1.0000
  17.000   1.5090   0.05836   0.05278  -0.0141   0.0446   1.0000
  18.000   1.4959   0.07138   0.06609  -0.0145   0.0400   1.0000
  19.000   1.4711   0.08669   0.08172  -0.0166   0.0368   1.0000
  20.000   1.4452   0.10286   0.09820  -0.0203   0.0345   1.0000
  21.000   1.4138   0.12038   0.11603  -0.0259   0.0325   1.0000
  22.000   1.3949   0.13656   0.13251  -0.0324   0.0308   1.0000
  23.000   1.3753   0.15292   0.14905  -0.0404   0.0288   1.0000
  24.000   1.3705   0.16729   0.16372  -0.0486   0.0274   1.0000
  25.000   1.3672   0.18138   0.17801  -0.0576   0.0259   1.0000
